	Movie_ID	Title	Year	Genre	Genre_Combined
0	34759	Aaghaaz 	2000	Thriller	Thriller
1	34760	Aaj Ka Ravan	2000	Drama	Drama
2	34761	Anjaane	2000	Romance	Romance
3	34762	Anokha Moti	2000	Family	Family
4	34763	Apradhi Kaun	2000	Thriller	Thriller
5	34764	Astitva	2000	Drama, Social	Drama Social
6	34765	Baaghi	2000	Action	Action
7	34766	Badal	2000	Action, Drama	Action Drama
8	34767	Bas Yaari Rakho	2000	Comedy, Drama	Comedy Drama
9	34768	Bawandar	2000	Drama	Drama
10	34769	Beti No.1	2000	Comedy	Comedy
11	34770	Bhai Thakur	2000	Action	Action
12	34771	Bichhoo	2000	Action	Action
13	34772	Billa No. 786	2000	Action	Action
14	34773	Bulandi	2000	Drama	Drama
15	34774	Chal Mere Bhai	2000	Comedy	Comedy
16	34775	Champion	2000	Action, Drama	Action Drama
17	34776	Dahshat	2000	Horror	Horror
18	34777	Deewane	2000	Action, Romance	Action Romance
19	34778	Dhai Akshar Prem Ke	2000	Romance, Drama	Romance Drama
20	34779	Dhadkan	2000	Romance, Drama	Romance Drama
21	34780	Dil Ki Dhadkan	2000	Drama, Romance	Drama Romance
22	34781	Dil Pe Mat Le Yaar	2000	Drama	Drama
23	34782	Dr. Babasaheb Ambedkar	2000	Biography, History	Biography History
24	34783	Dr Mukta	2000	N/A	N/A
25	34784	Dulhan Hum Le Jayenge	2000	Comedy, Romance	Comedy Romance
26	34785	Fiza	2000	Drama, Family, Thriller	Drama Family Thriller
27	34786	Gaja Gamini	2000	Drama	Drama
28	34787	Gang	2000	Crime	Crime
29	34788	Ghaath	2000	Drama	Drama
30	34789	Hadh Kar Di Aapne	2000	Comedy, Romance	Comedy Romance
31	34790	Hamara Dil Aapke Paas Hai	2000	Drama	Drama
32	34791	Har Dil Jo Pyar Karega	2000	Comedy, Drama, Romance	Comedy Drama Romance
33	34792	Hari-Bhari	2000	Drama, Family	Drama Family
34	34793	Hera Pheri	2000	Comedy	Comedy
35	34794	Hey Ram	2000	Drama	Drama
36	34795	Hum To Mohabbat Karega	2000	Action, Romance	Action Romance
37	34796	Jallad No. 1	2000	Drama	Drama
38	34797	Jis Desh Mein Ganga Rehta Hain	2000	Drama	Drama
39	34798	Joru Ka Ghulam	2000	Drama	Drama
40	34799	Josh	2000	Action, Romance	Action Romance
41	34800	Jung	2000	Drama	Drama
42	34801	Jungle	2000	Romance	Romance
43	34802	Kabrastan	2000	Horror	Horror
44	34803	Kahin Pyaar Na Ho Jaaye	2000	Comedy, romance	Comedy romance
45	34804	Kaho Naa... Pyaar Hai	2000	Romance, Drama, Musical	Romance Drama Musical
46	34805	Kairee	2000	Drama	Drama
47	34806	Karobaar: The Business of Love	2000	Drama	Drama
48	34807	Kharidaar	2000	Drama	Drama
49	34808	Khauff	2000	Drama	Drama
50	34809	Khiladi 420	2000	Action, romance	Action romance
51	34810	Krodh	2000	Action	Action
52	34811	Kunwara	2000	Comedy	Comedy
53	34812	Kurukshetra	2000	Action, romance	Action romance
54	34813	Kya Kehna	2000	Romance, drama	Romance drama
55	34814	Le Chal Apne Sang	2000	Romance	Romance
56	34815	Lekroo	2000	Drama	Drama
57	34816	Mela	2000	Drama	Drama
58	34817	Meri Jung Ka Elaan	2000	Drama	Drama
59	34818	Mission Kashmir	2000	Drama, War, Thriller	Drama War Thriller
60	34819	Mohabbatein	2000	Drama, Romance, Musical, Family	Drama Romance Musical Family
61	34820	Nidaan	2000	Drama	Drama
62	34821	Papa the Great	2000	Family	Family
63	34822	Phir Bhi Dil Hai Hindustani	2000	Comedy, Drama, Romance, Musical	Comedy Drama Romance Musical
64	34823	The Prince of Light	2000	Animation, Drama, Adventure, Action	Animation Drama Adventure Action
65	34824	Pukar	2000	Drama	Drama
66	34825	Raja Ko Rani Se Pyar Ho Gaya	2000	Comedy, Musical	Comedy Musical
67	34826	Raju Chacha	2000	Comedy	Comedy
68	34827	Refugee	2000	Drama, Romance	Drama Romance
69	34828	The Revenge: Geeta Mera Naam	2000	Action	Action
70	34829	Saanjh	2000	Drama, Family	Drama Family
71	34830	Second Generation	2000	Drama	Drama
72	34831	Shikaar	2000	Action, Musical, Thriller	Action Musical Thriller
73	34832	Shikari	2000	Thriller, Action, Romance	Thriller Action Romance
74	34833	Snip!	2000	Comedy, Thriller	Comedy Thriller
75	34834	Sultaan	2000	Action, Drama	Action Drama
76	34835	Tapish	2000	Drama	Drama
77	34836	Tarkieb	2000	Suspense, Thriller	Suspense Thriller
78	34837	Tera Jadoo Chal Gayaa	2000	Romance	Romance
79	34838	Tere Liye	2000	Romance	Romance
80	34839	Tune Mera Dil Le Liyaa	2000	Drama, Family, Romance	Drama Family Romance
81	34840	Zindagi Zindabad	2000	Drama	Drama
82	34841	Abhay	2001	"Thriller
"	"Thriller
"
83	34842	Aamdani Atthanni Kharcha Rupaiya	2001	"Family Drama
"	"Family Drama
"
84	34843	Aashiq	2001	"Action Comedy
"	"Action Comedy
"
85	34844	Ajnabee	2001	"Thriller, Suspense, Crime
"	"Thriller Suspense Crime
"
86	34845	Aks	2001	"Thriller, Horror
"	"Thriller Horror
"
87	34846	Albela	2001	"Romance
"	"Romance
"
88	34847	Asoka	2001	"History
"	"History
"
89	34848	Bas Itna Sa Khwaab Hai	2001	"Drama, Romance, Social
"	"Drama Romance Social
"
90	34849	Bengal Tiger	2001	"Action
"	"Action
"
91	34850	Bhairav	2001	"
"	"
"
92	34851	Censor	2001	"
"	"
"
93	34852	Chandni Bar	2001	"Drama
"	"Drama
"
94	34853	Chhupa Rustam: A Musical Thriller	2001	"Thriller
"	"Thriller
"
95	34854	Chori Chori Chupke Chupke	2001	"Drama, Romance, Musical, Social
"	"Drama Romance Musical Social
"
96	34855	Daman	2001	"Drama
"	"Drama
"
97	34856	Dattak	2001	"
"	"
"
98	34857	Deewaanapan	2001	"Drama, Romance
"	"Drama Romance
"
99	34858	Dil Chahta Hai	2001	"Drama, Comedy, Romance, Musical
"	"Drama Comedy Romance Musical
"
100	34859	Dil Ne Phir Yaad Kiya	2001	"Romance
"	"Romance
"
101	34860	Divya Drishti	2001	"
"	"
"
102	34861	Ehsaas: The Feeling	2001	"Drama
"	"Drama
"
103	34862	Ek Rishtaa: The Bond of Love	2001	"Family Drama
"	"Family Drama
"
104	34863	Farz	2001	"Action, Romance
"	"Action Romance
"
105	34864	Gadar: Ek Prem Katha	2001	"Drama, War, Romance, Action
"	"Drama War Romance Action
"
106	34865	Grahan	2001	"Romance
"	"Romance
"
107	34866	Hadh: Life on the Edge of Death	2001	"
"	"
"
108	34867	Hum Ho Gaye Aapke	2001	"Romance
"	"Romance
"
109	34868	Indian	2001	"Action
"	"Action
"
110	34869	Ittefaq	2001	"Action, Drama, Thriller
"	"Action Drama Thriller
"
111	34870	Jodi No.1	2001	"Comedy
"	"Comedy
"
112	34871	Kabhi Khushi Kabhie Gham...	2001	"Drama, Romance, Family
"	"Drama Romance Family
"
113	34872	Kasam	2001	"Action
"	"Action
"
114	34873	Kasoor	2001	"Thriller
"	"Thriller
"
115	34874	Kuch Khatti Kuch Meethi	2001	"Comedy, Drama
"	"Comedy Drama
"
116	34875	Kyo Kii Main Jhuth Nahin Bolta	2001	"Comedy, Romance
"	"Comedy Romance
"
117	34876	Lagaan: Once Upon a Time in India	2001	"Drama, Musical, Social
"	"Drama Musical Social
"
118	34877	Lajja	2001	"Drama, Romance, Musical, Crime
"	"Drama Romance Musical Crime
"
119	34878	Love Ke Liye Kuchh Bhi Karega	2001	"Comedy
"	"Comedy
"
120	34879	Maya	2001	"
"	"
"
121	34880	Mitti	2001	"
"	"
"
122	34881	Moksha	2001	"Drama
"	"Drama
"
123	34882	Mujhe Kucch Kehna Hai	2001	"Comedy
"	"Comedy
"
124	34883	Mujhe Meri Biwi Se Bachaao	2001	"Comedy, Family
"	"Comedy Family
"
125	34884	Nayak	2001	"Drama
"	"Drama
"
126	34885	Officer	2001	"Action
"	"Action
"
127	34886	One 2 Ka 4	2001	"Action, Romance
"	"Action Romance
"
128	34887	Paagalpan	2001	"Romance
"	"Romance
"
129	34888	Pyaar Ishq Aur Mohabbat	2001	"Romance
"	"Romance
"
130	34889	Pyaar Tune Kya Kiya	2001	"Drama, Romance, Thriller
"	"Drama Romance Thriller
"
131	34890	Pyaar Zindagi Hai	2001	"
"	"
"
132	34891	Rahul	2001	"Drama
"	"Drama
"
133	34892	Rehnaa Hai Terre Dil Mein	2001	"Romance
"	"Romance
"
134	34893	Shirdi Sai Baba	2001	"
"	"
"
135	34894	Style	2001	"Romance
"	"Romance
"
136	34895	Tamboo Mein Bamoo	2001	"
"	"
"
137	34896	Tera Mera Saath Rahen	2001	"Drama
"	"Drama
"
138	34897	Tum Bin	2001	"Romance
"	"Romance
"
139	34898	Veer Savarkar	2001	"
"	"
"
140	34899	Yaadein	2001	"Romance, Drama
"	"Romance Drama
"
141	34900	Yeh Raaste Hain Pyaar Ke	2001	"Drama
"	"Drama
"
142	34901	Yeh Teraa Ghar Yeh Meraa Ghar	2001	"Drama
"	"Drama
"
143	34902	Yeh Zindagi Ka Safar	2001	"
"	"
"
144	34903	Zubeidaa	2001	"Drama
"	"Drama
"
145	34904	16-Dec	2002	"Action
"	"Action
"
146	34905	23rd March 1931: Shaheed	2002	"Historical Drama
"	"Historical Drama
"
147	34906	Aankhen	2002	"Thriller, Action
"	"Thriller Action
"
148	34907	Aap Mujhe Achche Lagne Lage	2002	"Romance, Drama
"	"Romance Drama
"
149	34908	Ab Ke Baras	2002	"Romance, Drama
"	"Romance Drama
"
150	34909	Agni Varsha	2002	"Historical
"	"Historical
"
151	34910	Akhiyon Se Goli Maare	2002	"Comedy
"	"Comedy
"
152	34911	Annarth	2002	"Action, Thriller
"	"Action Thriller
"
