	Title	avg_rating	count_rating	w_score
23	Sachin: A Billion Dreams	3.473684210526316	38	3.2148015706993767
46	Pyaar Tune Kya Kiya	3.4130434782608696	46	3.2069927384646486
6	Calapor	3.5833333333333335	24	3.200619027696395
45	Buddha in a Traffic Jam	3.4146341463414633	41	3.195900367112042
21	Uff Kya Jaadoo Mohabbat Hai	3.4838709677419355	31	3.195367947256463
48	Sallu ki Shaadi	3.4047619047619047	42	3.193674226576678
38	Mulaqaat	3.4324324324324325	37	3.193293155888526
15	Fiza	3.5185185185185186	27	3.192374410119831
33	Dharti Kahe Pukar Ke	3.4411764705882355	34	3.1880416492343455
4	Baabul	3.6315789473684212	19	3.185282029826887
0	Kidnap	3.7857142857142856	14	3.184055532312461
14	Karle Pyaar Karle	3.52	25	3.1837089005457417
71	The Silent Heroes	3.3617021276595747	47	3.1832616337499746
5	Lafangey Parindey	3.6	20	3.1824747263446613
29	Fitoor	3.4516129032258065	31	3.18238093426945
7	Julie	3.5714285714285716	21	3.179751222966383
22	Guddu Rangeela	3.4814814814814814	27	3.1786757799828447
40	Kushti	3.4242424242424243	33	3.1777636954271857
31	Mujhse Shaadi Karogi	3.4482758620689653	29	3.1739110925166356
55	"Jai Veeru
"	3.4	35	3.173374468379601
37	Refugee	3.433333333333333	30	3.171622788667732
95	Utt Pataang	3.3333333333333335	48	3.1706737440292305
41	Made In China	3.4193548387096775	31	3.169393921282437
94	Policegiri	3.340909090909091	44	3.1671481326527515
111	Krrish	3.32	50	3.1671180410286213
56	Devaki	3.393939393939394	33	3.1651054675790844
32	Chhota Bheem and the Throne of Bali	3.4444444444444446	27	3.1649771498458583
105	Miley Naa Miley Hum	3.3260869565217392	46	3.163514477595083
106	Turning 30!!!	3.3260869565217392	46	3.163514477595083
20	Simmba	3.5	22	3.162401940275701
16	De Taali	3.5	22	3.162401940275701
93	It's a Man's World	3.341463414634146	41	3.1614176084913526
51	Woh Lamhe...	3.4	30	3.15846489393089
107	Lakshya	3.3255813953488373	43	3.1577902465027825
82	Kis Kis Ki Kismat	3.3513513513513513	37	3.157148577575273
123	Sirf	3.311111111111111	45	3.154322328997227
132	Rakhtbeej	3.3043478260869565	46	3.152644912377692
131	Kaashi in Search of Ganga	3.3043478260869565	46	3.152644912377692
80	Basti	3.3529411764705883	34	3.150541649234346
58	Badmaash Company	3.392857142857143	28	3.149234215388482
57	Hum Ho Gaye Aapke	3.392857142857143	28	3.149234215388482
125	Soch	3.3095238095238093	42	3.1482196811221326
28	Freaky Ali	3.4545454545454546	22	3.1476960579227597
154	Dasvidaniya	3.28	50	3.1462847076952882
9	Maine Dil Tujhko Diya	3.5625	16	3.145860192560446
141	Ata Pata Laapata	3.2954545454545454	44	3.1449259104305294
44	Waris Shah: Ishq Daa Waaris	3.4166666666666665	24	3.143476170553538
43	Ramaiya Vastavaiya	3.4166666666666665	24	3.143476170553538
120	My Wife's Murder	3.3157894736842106	38	3.1433729992708055
92	F.A.L.T.U	3.34375	32	3.1415811787018932
91	Love Per Square Foot	3.34375	32	3.1415811787018932
134	Mr Ya Miss	3.3	40	3.1400387434738097
24	Great Grand Masti	3.473684210526316	19	3.1391281836730407
165	Tahaan	3.2708333333333335	48	3.1387588504122093
164	Chal Chalein	3.2708333333333335	48	3.1387588504122093
163	Cocktail	3.2708333333333335	48	3.1387588504122093
2	Zor Lagaa Ke...Haiya!	3.6666666666666665	12	3.1386781368749594
145	Yeh Lamhe Judaai Ke	3.292682926829268	41	3.138429102744226
66	Padmaavat	3.3703703703703702	27	3.1375798895718856
30	Sarbjit	3.45	20	3.137020180890116
188	Student of the Year	3.26	50	3.1358680410286213
189	Dobara	3.26	50	3.1358680410286213
78	Khamoshh... Khauff Ki Raat	3.357142857142857	28	3.1357207018749684
129	Zindagi Zindabad	3.3055555555555554	36	3.134674779740825
128	Chatur Singh Two Star	3.3055555555555554	36	3.134674779740825
8	Good News	3.5714285714285716	14	3.134055532312461
90	Men Not Allowed	3.3448275862068964	29	3.1339110925166356
13	Raqeeb	3.533333333333333	15	3.1318579006352074
110	Shahid	3.3225806451612905	31	3.130432882321398
109	Humpty Sharma Ki Dulhania	3.3225806451612905	31	3.130432882321398
108	P Se PM Tak	3.3225806451612905	31	3.130432882321398
153	Armaan	3.282051282051282	39	3.129921552220561
18	Kaante	3.5	16	3.1297311603023816
72	Jugni	3.36	25	3.1273708723767277
73	Valentine Days	3.36	25	3.1273708723767277
74	Baa Baaa Black Sheep	3.36	25	3.1273708723767277
75	Manto	3.36	25	3.1273708723767277
167	Nothing but Life	3.268292682926829	41	3.1269348498706626
168	Soorma	3.268292682926829	41	3.1269348498706626
169	Jannat	3.268292682926829	41	3.1269348498706626
1	Kuch Khatti Kuch Meethi	3.7	10	3.125773784620494
87	Golmaal 3	3.3461538461538463	26	3.1256018324826065
89	Hastey Hastey	3.3461538461538463	26	3.1256018324826065
88	Ready	3.3461538461538463	26	3.1256018324826065
184	Dhol	3.261904761904762	42	3.1254924083948596
195	Ek Hasina Thi	3.255813953488372	43	3.1240823813342433
149	332 Mumbai to India	3.2857142857142856	35	3.123991752330218
3	Main Terrorist Nahi Hoon	3.6363636363636362	11	3.123567226995573
50	Boyss Toh Boyss Hain	3.4	20	3.121868665738601
214	"Straight
"	3.2444444444444445	45	3.121355296030194
124	Manikarnika: The Queen of Jhansi	3.310344827586207	29	3.120577759183302
64	Tum Bin 2	3.380952380952381	21	3.1200497304290695
63	Ramaa: The Saviour	3.380952380952381	21	3.1200497304290695
220	Ramayana: The Epic	3.239130434782609	46	3.120036216725518
219	Chicken Curry Law	3.239130434782609	46	3.120036216725518
137	Love, Wrinkle-free	3.3	30	3.118991209720364
70	Darna Mana Hai	3.3636363636363638	22	3.1182842932168775
194	Married 2 America	3.2564102564102564	39	3.118156846338208
244	Kyaa Dil Ne Kahaa	3.2291666666666665	48	3.1174822546675283
147	Main Madhuri Dixit Banna Chahti Hoon	3.2903225806451615	31	3.117445869334385
197	Hathyar	3.25	40	3.1167829295203218
86	Shikaar	3.347826086956522	23	3.116570028097792
85	Chaarfutiya Chhokare	3.347826086956522	23	3.116570028097792
84	Department	3.347826086956522	23	3.116570028097792
26	Pal Pal Dil Ke Saath	3.466666666666667	15	3.115464458012257
25	LOC: Kargil	3.466666666666667	15	3.115464458012257
36	Censor	3.4375	16	3.113602128044317
35	Memories in March	3.4375	16	3.113602128044317
34	Prassthanam	3.4375	16	3.113602128044317
114	Sulemani Keeda	3.32	25	3.1132863653344742
113	P Se Pyaar F Se Faraar	3.32	25	3.1132863653344742
112	Chaar Sahibzaade: Rise of Banda Singh Bahadur	3.32	25	3.1132863653344742
237	Anuradha	3.2325581395348837	43	3.1128464262780637
47	Anjaana Anjaani	3.411764705882353	17	3.1117989196626614
255	The Unsound	3.2222222222222223	45	3.110366285041183
259	Rules: Pyaar Ka Superhit Formula	3.2222222222222223	45	3.110366285041183
208	Ekk Deewana Tha	3.25	36	3.110284535838386
139	Blackmail	3.2962962962962963	27	3.110182629297913
140	Parched	3.2962962962962963	27	3.110182629297913
59	Shagird	3.388888888888889	18	3.110052061542932
265	Shortcut Romeo	3.217391304347826	46	3.1091666515081267
215	Vaastu Shastra	3.2432432432432434	37	3.1089558064909357
67	Meinu Ek Ladki Chaahiye	3.3684210526315788	19	3.10835895290381
271	Atithi Tum Kab Jaoge?	3.2127659574468086	47	3.1079928165456736
225	Fun2shh... Dudes in the 10th Century	3.236842105263158	38	3.10765871355652
224	Jalwa - Fun in Love	3.236842105263158	38	3.10765871355652
223	One Night Out	3.236842105263158	38	3.10765871355652
226	Ek Ajnabee	3.236842105263158	38	3.10765871355652
83	Mumbai Godfather	3.35	20	3.1067171505870856
11	Secret Superstar	3.5454545454545454	11	3.10602336734645
12	Te3n	3.5454545454545454	11	3.10602336734645
10	Aaghaaz 	3.5454545454545454	11	3.10602336734645
173	Samrat & Co.	3.2666666666666666	30	3.105833314983522
176	Khauff	3.2666666666666666	30	3.105833314983522
296	Hawaizaada	3.204081632653061	49	3.1057192835657648
247	Julie 2	3.225	40	3.1051550225435776
102	Kairee	3.3333333333333335	21	3.1051243572947413
100	Love U...Mr. Kalakaar!	3.3333333333333335	21	3.1051243572947413
302	Band Baaja Baaraat	3.2	50	3.1046180410286213
303	Love Sonia	3.2	50	3.1046180410286213
192	R... Rajkumar	3.2580645161290325	31	3.1044588563473723
193	Ishq Junoon	3.2580645161290325	31	3.1044588563473723
116	Peepli Live	3.3181818181818183	22	3.103578410863936
117	Housefull 3	3.3181818181818183	22	3.103578410863936
115	Devdas	3.3181818181818183	22	3.103578410863936
204	Aitraaz	3.25	32	3.1031196402403545
206	Showbiz	3.25	32	3.1031196402403545
27	Welcome to Sajjanpur	3.4615384615384617	13	3.1024293548940283
130	Life Mein Twist Hai	3.3043478260869565	23	3.102077274474604
216	Student of the Year 2	3.242424242424242	33	3.1018143283385777
285	Shanghai	3.2093023255813953	43	3.1016104712218837
284	Kaun Hai Jo Sapno Mein Aaya	3.2093023255813953	43	3.1016104712218837
39	Gangoobai	3.4285714285714284	14	3.1007221989791276
146	404	3.2916666666666665	24	3.100619027696395
233	Pyaar Ka Punchnama 2	3.235294117647059	34	3.1005416492343456
292	Mirza Juuliet	3.2045454545454546	44	3.100481465986085
293	Dil Juunglee	3.2045454545454546	44	3.100481465986085
295	Life Ki Toh Lag Gayi	3.2045454545454546	44	3.100481465986085
294	Objection My God	3.2045454545454546	44	3.100481465986085
305	Dr Mukta	3.2	45	3.099377274052172
245	Judwaa 2	3.2285714285714286	35	3.0993003943055264
49	Shivaay	3.4	15	3.0990710153893057
53	Beehad - The Ravines	3.4	15	3.0990710153893057
54	36 China Town	3.4	15	3.0990710153893057
313	Sunglass	3.1956521739130435	46	3.0982970862907355
258	Swades	3.2222222222222223	36	3.0980894138871666
260	The Hangman	3.2222222222222223	36	3.0980894138871666
